strategy,seed,iteration,num_labeled_samples,query_time,test_mAP,test_mAP_oth,num_segments_oth,test_mAP_whp,num_segments_whp,test_mAP_rum,num_segments_rum,test_mAP_grn,num_segments_grn,test_mAP_gig,num_segments_gig,test_mAP_str,num_segments_str,test_mAP_fed,num_segments_fed,test_mAP_sql,num_segments_sql,test_mAP_snr,num_segments_snr,test_mAP_gwl,num_segments_gwl
badge-greedy-dpp,0,0,300,0.000395,0.226588,0.128717,13,0.445598,8,0.023074,1,0.720856,18,0.068503,4,0.025171,3,0.713129,30,0.129564,4,0.002441,0,0.008826,0
badge-greedy-dpp,0,1,600,16.616207,0.417021,0.230465,114,0.687155,83,0.520773,26,0.794725,125,0.320600,53,0.226669,26,0.714257,94,0.519417,88,0.100499,3,0.055644,14
badge-greedy-dpp,0,2,900,13.96441,0.543286,0.299473,217,0.721371,148,0.602535,54,0.814286,212,0.438748,107,0.323427,68,0.765022,166,0.556035,174,0.754855,19,0.157111,25
badge-greedy-dpp,0,3,1200,13.973719,0.580066,0.310590,320,0.752042,202,0.601569,88,0.823013,286,0.464551,174,0.393188,103,0.779239,243,0.581315,256,0.851655,47,0.243500,50
badge-greedy-dpp,0,4,1500,15.020643,0.607614,0.332051,426,0.772787,237,0.652004,127,0.839047,348,0.489564,234,0.421377,129,0.794725,311,0.595511,332,0.871384,57,0.307688,74
badge-greedy-dpp,0,5,1800,16.852564,0.617142,0.338858,531,0.777157,284,0.640321,159,0.850551,417,0.496478,275,0.414367,152,0.802190,378,0.605661,393,0.873775,65,0.372060,93
badge-greedy-dpp,0,6,2100,15.232057,0.626020,0.351661,632,0.789058,324,0.663299,199,0.850803,469,0.500600,311,0.437428,167,0.805518,432,0.622170,451,0.900409,78,0.339252,115
badge-greedy-dpp,0,7,2400,24.560543,0.634814,0.342014,716,0.800039,367,0.667301,227,0.859493,543,0.515674,355,0.446336,193,0.814644,491,0.628168,521,0.900427,96,0.374042,126
badge-greedy-dpp,0,8,2700,23.824855,0.641007,0.359614,802,0.799337,402,0.676252,259,0.864550,592,0.512927,393,0.440194,211,0.812430,552,0.632478,579,0.902450,104,0.409842,142
badge-greedy-dpp,0,9,3000,21.637007,0.649393,0.365507,893,0.799990,440,0.677456,283,0.867724,652,0.531132,424,0.468024,228,0.820579,620,0.637414,617,0.917337,117,0.408765,154
badge-greedy-dpp,1,0,300,0.000304,0.285282,0.111367,10,0.531637,7,0.077027,5,0.700248,18,0.071895,7,0.015300,2,0.693401,27,0.241967,6,0.353293,1,0.056685,1
badge-greedy-dpp,1,1,600,15.605005,0.507942,0.268233,105,0.719101,66,0.560624,41,0.797806,86,0.359277,58,0.171681,18,0.736604,102,0.537356,88,0.772127,18,0.156610,22
badge-greedy-dpp,1,2,900,19.131518,0.567515,0.303306,228,0.734761,109,0.610558,73,0.829998,154,0.416099,117,0.307464,58,0.771590,195,0.567735,179,0.866038,39,0.267600,52
badge-greedy-dpp,1,3,1200,15.560871,0.596968,0.312867,338,0.757527,167,0.630719,107,0.834588,215,0.475563,185,0.345674,86,0.799092,264,0.596896,256,0.871900,58,0.344851,76
badge-greedy-dpp,1,4,1500,14.487881,0.606111,0.310821,436,0.763976,215,0.636431,139,0.848937,290,0.488674,237,0.383155,112,0.794545,333,0.609047,331,0.867662,71,0.357864,95
badge-greedy-dpp,1,5,1800,15.18931,0.621823,0.338005,534,0.780537,250,0.658815,172,0.853365,363,0.491982,276,0.417819,134,0.804024,402,0.620009,392,0.884809,91,0.368865,110
badge-greedy-dpp,1,6,2100,17.193012,0.629449,0.344466,630,0.782880,290,0.660730,207,0.858020,425,0.503435,314,0.425418,161,0.805960,462,0.621318,454,0.882630,100,0.409635,126
badge-greedy-dpp,1,7,2400,14.839542,0.633086,0.360201,723,0.790718,332,0.668108,232,0.863382,474,0.503561,347,0.428167,179,0.812361,531,0.622945,512,0.887711,109,0.393705,136
badge-greedy-dpp,1,8,2700,22.1891,0.635935,0.362685,816,0.794064,369,0.682090,264,0.865250,526,0.499823,397,0.419885,199,0.817441,596,0.638311,566,0.897828,122,0.381975,147
badge-greedy-dpp,1,9,3000,17.166504,0.646602,0.366059,896,0.799335,411,0.681022,284,0.869386,586,0.531418,439,0.452063,217,0.816546,659,0.627444,618,0.900540,128,0.422202,163
badge-greedy-dpp,2,0,300,0.000293,0.179957,0.039515,12,0.330999,6,0.108621,6,0.540232,14,0.003521,3,0.007524,1,0.613515,23,0.152384,4,0.001291,0,0.001966,0
badge-greedy-dpp,2,1,600,15.033922,0.422662,0.218468,78,0.717712,97,0.524856,25,0.791027,128,0.198303,28,0.119046,18,0.723469,82,0.476851,52,0.417429,3,0.039454,9
badge-greedy-dpp,2,2,900,18.96907,0.550596,0.289920,199,0.749606,157,0.612692,72,0.808753,202,0.432023,103,0.348336,52,0.758904,157,0.547382,153,0.811101,26,0.147238,38
badge-greedy-dpp,2,3,1200,18.258026,0.584647,0.294796,325,0.755653,217,0.634040,111,0.824629,262,0.471672,173,0.365964,90,0.778920,219,0.566079,240,0.809982,38,0.344734,64
badge-greedy-dpp,2,4,1500,15.3709,0.602178,0.326098,433,0.767562,264,0.644843,145,0.839093,343,0.471185,221,0.379820,118,0.785292,288,0.586703,310,0.851975,54,0.369208,84
badge-greedy-dpp,2,5,1800,22.051153,0.611696,0.332900,527,0.783527,310,0.656979,184,0.849794,418,0.489925,278,0.396630,141,0.794174,342,0.603613,380,0.868056,75,0.341365,100
badge-greedy-dpp,2,6,2100,15.15153,0.622767,0.342861,622,0.787329,348,0.664973,221,0.850644,480,0.503113,315,0.415448,163,0.804418,414,0.606122,433,0.863909,88,0.388853,116
badge-greedy-dpp,2,7,2400,14.950341,0.627775,0.342487,717,0.800529,385,0.664693,249,0.857265,548,0.491564,361,0.440295,184,0.809633,492,0.610600,510,0.881378,97,0.379303,126
badge-greedy-dpp,2,8,2700,15.180499,0.629143,0.330521,823,0.803367,422,0.672393,278,0.865806,610,0.505906,405,0.406005,204,0.813314,551,0.624758,572,0.880316,109,0.389045,145
badge-greedy-dpp,2,9,3000,13.991139,0.642323,0.363917,908,0.809735,451,0.677186,305,0.864136,657,0.503899,439,0.431667,223,0.815269,619,0.634538,620,0.889903,123,0.432978,158
badge-greedy-dpp,3,0,300,0.000296,0.133922,0.010062,8,0.379413,5,0.103778,6,0.155731,6,0.005436,2,0.008221,4,0.669715,22,0.004731,3,0.001370,0,0.000768,0
badge-greedy-dpp,3,1,600,14.923577,0.389972,0.213862,57,0.691524,81,0.502385,35,0.752588,72,0.318780,21,0.131226,13,0.759776,78,0.460308,32,0.038111,1,0.031163,10
badge-greedy-dpp,3,2,900,15.237633,0.526702,0.263549,191,0.723121,153,0.577412,90,0.810337,156,0.437148,97,0.315865,58,0.780924,145,0.528544,141,0.690498,13,0.139622,33
badge-greedy-dpp,3,3,1200,13.596322,0.573714,0.303481,301,0.732384,203,0.617291,128,0.824212,240,0.459358,161,0.362881,85,0.782019,211,0.570967,220,0.815034,30,0.269515,54
badge-greedy-dpp,3,4,1500,13.928897,0.595332,0.303613,411,0.757478,245,0.609942,158,0.833677,310,0.483927,226,0.386431,116,0.789753,285,0.583022,300,0.845308,47,0.360166,77
badge-greedy-dpp,3,5,1800,15.13807,0.619725,0.329645,515,0.763040,287,0.658183,195,0.845617,369,0.515475,271,0.419823,140,0.807717,346,0.617575,367,0.873028,65,0.367149,100
badge-greedy-dpp,3,6,2100,15.669326,0.623134,0.332174,617,0.779398,334,0.650264,229,0.854328,427,0.508611,311,0.426596,162,0.812860,419,0.622252,438,0.860446,75,0.384407,117
badge-greedy-dpp,3,7,2400,15.475745,0.628722,0.347000,703,0.783016,373,0.651055,255,0.850419,502,0.515903,349,0.433244,182,0.810995,481,0.625958,503,0.880062,91,0.389572,131
badge-greedy-dpp,3,8,2700,14.116316,0.640212,0.359125,784,0.791773,403,0.663705,283,0.860543,563,0.525781,386,0.447263,199,0.818007,552,0.642379,557,0.890734,104,0.402814,145
badge-greedy-dpp,3,9,3000,14.30596,0.640435,0.352523,888,0.797586,447,0.668979,309,0.868578,628,0.521788,432,0.444642,227,0.821651,617,0.636090,607,0.894552,116,0.397964,154
badge-greedy-dpp,4,0,300,0.000307,0.164478,0.018828,5,0.388112,5,0.032458,3,0.372979,9,0.003511,3,0.003411,3,0.639010,26,0.077388,6,0.104297,1,0.004784,2
badge-greedy-dpp,4,1,600,14.086222,0.446629,0.233575,62,0.692869,83,0.516440,31,0.775948,77,0.187664,15,0.178570,11,0.731982,71,0.479772,48,0.614029,14,0.055441,10
badge-greedy-dpp,4,2,900,15.063415,0.542700,0.281909,177,0.738506,155,0.584538,72,0.815833,153,0.412905,79,0.322710,53,0.761165,118,0.530997,140,0.820914,39,0.157526,27
badge-greedy-dpp,4,3,1200,14.972736,0.579001,0.305237,289,0.765044,211,0.611979,104,0.827239,226,0.449860,149,0.368869,84,0.792640,194,0.582686,229,0.855433,51,0.231023,50
badge-greedy-dpp,4,4,1500,15.159572,0.597935,0.321415,390,0.773990,270,0.638359,142,0.836838,289,0.474428,199,0.409337,109,0.801774,252,0.592067,288,0.869634,66,0.261512,70
badge-greedy-dpp,4,5,1800,15.215324,0.616466,0.331695,501,0.778579,300,0.647569,182,0.842792,359,0.502074,251,0.426797,139,0.805701,322,0.613117,372,0.885274,79,0.331057,88
badge-greedy-dpp,4,6,2100,13.971282,0.623541,0.344556,597,0.789491,341,0.642408,220,0.851441,424,0.501224,299,0.433655,160,0.809839,385,0.610427,436,0.884985,91,0.367387,114
badge-greedy-dpp,4,7,2400,14.027536,0.632611,0.358915,694,0.796073,390,0.662691,247,0.857284,478,0.511312,344,0.444866,182,0.815532,442,0.612446,506,0.888962,103,0.378033,130
badge-greedy-dpp,4,8,2700,15.112209,0.637925,0.354054,781,0.803149,427,0.671046,275,0.864584,542,0.516317,385,0.427479,207,0.812944,513,0.620624,564,0.904794,115,0.404256,143
